id,date,publication,author,headline,items
37,2018-01-09,Business India, Rakesh Joshi,Flood of arbitrations?,"Cairn Energy, arbitration"
38,2018-01-15,The Statesman,PTI,Vedanta urges govt to resolve retro tax issues,"arbitration, Cairn Energy, retrospective tax"
39,2018-01-15,The Financial Express,Editorial,Can't negotiate tax deals,"arbitration, Cairn Energy"
40,2018-01-19,Financial Chronicle,Editorial,A pipe dream,"Cairn Energy, arbitration"
41,2018-01-20,The Political & Business Daily,PTI,Proposed investment pact terms to hit foreign partners,"Cairn Energy, arbitration, retrospective tax"
42,2018-01-24,The Financial Express,PTI,Final arbitration hearings on India tax demand in Aug: Cairn,"arbitration, Cairn Energy, retrospective tax"
43,2018-01-24,The Political & Business Daily,Bureau,Final I-T arbitration hearings in Aug: Cairn,"arbitration, Cairn Energy, retrospective tax"
44,2018-01-24,The Pioneer,Bureau,Final arbitration hearings on India tax demand in Aug: Cairn,"arbitration, Cairn Energy, retrospective tax"
45,2018-01-24,The Pioneer,Bureau,Final arbitration hearings on India tax demand in  Aug: Cairn,"arbitration, Cairn Energy, retrospective tax"
46,2018-01-24,The Telegraph,Bureau,Cairn hearing in Aug,"arbitration, Cairn Energy, retrospective tax"
47,2018-01-25,Business Standard, Kanika Datta,India as a business partner,"arbitration, retrospective tax"
48,2018-02-27,The New Indian Express,Agencies,FM Arun Jaitley comments help: Vodafone CEO on tax dispute,"Cairn Energy, arbitration, retrospective tax"
49,2018-02-27,Millennium Post,PTI,FM's tax row byte rings in hope for Vodafone,"Cairn Energy, arbitration, retrospective tax"
50,2018-03-14,Business Standard,PTI,Cairn hearing in August,"arbitration, Cairn Energy, retrospective tax"
51,2018-03-14,The Hindu Business Line,Bureau,Cairn Energy tax issue final hearing in Aug at Hague,"arbitration, Cairn Energy, retrospective tax"
52,2018-03-14,The Pioneer,PTI,Final hearing in Cairn Energy tax issue in Aug,"arbitration, Cairn Energy, retrospective tax"
53,2018-03-14,The Political & Business Daily,PTI,Final hearing in Cairn Energy tax issue to begin in August,"arbitration, Cairn Energy, retrospective tax"
54,2018-03-14,The Telegraph,Bureau,Cairn hearing,"arbitration, Cairn Energy, retrospective tax"
55,2018-03-14,The Financial Express,PTI,Final hearing in Cairn Energy tax issue in Aug,"arbitration, Cairn Energy, retrospective tax"
56,2018-04-16,The Indian Express,Bureau,I-T dept seizes Rs 440 crore dividend of Cairn Energy,"arbitration, retrospective tax"
57,2018-04-16,Free Press,Bureau,I-T dept seizes Rs 440 cr Cairn dividend income,"arbitration, Cairn Energy, retrospective tax"
58,2018-04-16,Mail Today,Bureau,Taxman seizes Cairns Rs 440 crore dividend,"arbitration, Cairn Energy, retrospective tax"
59,2018-04-16,The Economic Times,PTI,Tax Dept Seizes Rs 440 Crore Cairn Energy Dividend Income,"arbitration, retrospective tax"
60,2018-04-16,The Economic Times, Nishtha Saluja,All Parties Must Abide by Arbitration Results: Cairn,"Cairn plc, arbitration, retrospective tax"
61,2018-04-16,Business Standard,PTI,Tax dept seizes Rs 4.4-bn dividend income of Cairn,"arbitration, Cairn Energy, retrospective tax"
62,2018-04-16,Deccan Herald,Bureau,I-Tax dept seizes Rs 440 cr dividend income of Cairn,"arbitration, Cairn Energy, retrospective tax"
63,2018-04-16,The Financial Express,PTI,I-T seizes Rs 440-cr dividend income of Cairn Energy,"arbitration, Cairn Energy, retrospective tax"
64,2018-04-16,The Free Press Journal,Bureau,I-T dept seizes Rs 440 cr Cairn dividend income,"arbitration, Cairn Energy, retrospective tax"
65,2018-04-16,Daily News & Analysis,Bureau,I-T Dept seizes Rs 440 cr income of Cairn Energy,"arbitration, Cairn Energy, retrospective tax"
66,2018-04-16,The Economic Times, Nishtha Saluja,'Cairn will abide by panel decision',"arbitration, retrospective tax"
67,2018-04-16,The Economic Times,Bureau,"We will abide by Arbitration  Results, India too Should: Cairn","arbitration, retrospective tax"
68,2018-04-16,The Economic Times,PTI,Tax Dept Seizes Rs440-Crore Cairn Energy Dividend Income,"arbitration, retrospective tax"
69,2018-04-16,The Economic Times,Associated Press,Cairn will abide by panel decision:CEO....,"arbitration, retrospective tax"
70,2018-04-16,The Statesman,Bureau,I-T seizes Rs 440 crore dividend income of Cairn Energy,"arbitration, Cairn Energy, retrospective tax"
71,2018-04-16,The Statesman,PTI,I-T seizes Rs 440 crore dividend income of Cain |Energy,"arbitration, Cairn Energy, retrospective tax"
72,2018-04-16,The Pioneer,Bureau,Income-Tax dept seizes Rs 440-cr dividend income of Cairn Energy,"arbitration, Cairn Energy, retrospective tax"
73,2018-04-16,The Hindu Business Line,PTI,Retro tax: I-T Dept seizes Cairns RS 440-crore dividend income,"arbitration, Cairn Energy, retrospective tax"
74,2018-04-16,The Times Of India,Bureau,Rs 440 crore dividend income of Cairn seized,"arbitration, Cairn Energy, retrospective tax"
75,2018-04-17,Financial Chronicle,Editorial,Policy inconsistency,"Cairn Energy, arbitration"
76,2018-04-17,The Financial Express,Editorial,Modi needs to just say he will honour Cairn ruling,"Cairn Energy, arbitration, retrospective tax"
77,2018-05-07,Daily News & Analysis,Bureau,"Cairn Indias Rs 20,500 crore tax arbitration begins","Cairn Energy, arbitration, retrospective tax"
78,2018-05-07,The Telegraph,PTI,Cairn arbitration,"arbitration, retrospective tax"
79,2018-05-07,Western Times,Bureau,Income Tax dept seizes Rs440 cr dividend income of Cairn Energy,"arbitration, Cairn Energy, retrospective tax"
80,2018-05-07,Deccan Chronicle,Bureau,Arbitrations begin on Cairn India case,"Cairn Energy, arbitration, retrospective tax"
81,2018-05-07,Business Standard,PTI,Hearings begin in Cairn Indias challenge to tax demand,"Cairn Energy, arbitration, retrospective tax"
82,2018-05-07,Business Standard,Bureau,Hearings begin in Cairn India's challenge to tax demand,"Cairn Energy, arbitration, retrospective tax"
83,2018-05-07,The Asian Age,Bureau,Arbitrations begin on Cairn India case,"Cairn Energy, arbitration, retrospective tax"
84,2018-05-07,The Economic Times,PTI,Arbitration Hearings Begin In Cairns Tax Demand Case,"Cairn Energy, arbitration, retrospective tax"
