id,date,publication,author,headline,items
1,2018-01-09,Business India,Rakesh Joshi,Flood of arbitrations?,"Cairn Energy, arbitration"
2,2017-01-01,Business Standard,Bureau,Deals dominate oil & gas sector,arbitration
3,2017-01-02,Western Times,Bureau,Cos must drop retro tax cases to avail settlement scheme: CBDT,"retrospective tax, arbitration, Cairn Energy"
4,2017-01-12,Business Standard, Sayan ghosal,HC asks Cairn to go for arbitration in 2 weeks,arbitration
5,2017-01-23,Business Standard,Bureau,Budget 2017-18,arbitration
6,2017-02-04,The Financial Express, Sumit Jha,"New ways will be explored to cut tax disputes, says Adhia",arbitration
7,2017-02-13,Mint, Shreeia Sen,Have treaty arbitration cases hurt Indias investment-friendly image?,arbitration
8,2017-02-19,The Hindu, TCA Sharad Raghavan,Retro-tax disputes to run course,"retrospective tax, arbitration"
9,2017-02-22,Daily News & Analysis, Santanu Chakraborty,F&O easing to open FPI tap,"arbitration, Cairn Energy"
10,2017-02-24,The Financial Express,Bureau,Making the most of it,arbitration
11,2017-03-02,The Financial Express, Banikinkar Pattanayak,No legal cover for post-March EU investors,"retrospective tax, arbitration, Cairn Energy"
12,2017-03-09,Financial Chronicle,Bureau,I-T lifts freeze on Cairn Energy dividend payout,"arbitration, Cairn Energy"
13,2017-03-09,The Hindu Business Line,Bureau,Cairn Energy allowed to claim $51-m dividend from Cairn India,"retrospective tax, arbitration, Cairn Energy"
14,2017-03-09,Mint, Gireesh Chandra Prasad,Cairn Energy says tax dispute doesn't block India dividend,"arbitration, Cairn Energy"
15,2017-03-09,Business Standard, SHINE JACOB,"I-T dept lifts freeze on Cairn Energy payout, but bar on stake sale stays","arbitration, Cairn Energy"
16,2017-03-09,The Economic Times,Bureau,Cairn Energy May Get $51m in Dividend from Former Indian Arm,"retrospective tax, arbitration, Cairn Energy, Cairn plc"
17,2017-03-09,The Financial Express,PTI,I-T dept lifts freeze on Cairn dividend payout,"retrospective tax, arbitration, Cairn Energy"
18,2017-03-09,The Telegraph,Correspondent,Relief for Cairn Energy,"retrospective tax, arbitration, Cairn Energy"
19,2017-03-09,The Economic Times,PTI,I-T Lifts Freeze on Cairn Energy Dividend Payout.,"retrospective tax, arbitration, Cairn Energy"
20,2017-03-09,The Economic Times, Nishtha Saluja,I-T Dept May Lift Freeze on Payout to Cairn Energy by Former Local Arm,"retrospective tax, arbitration, Cairn Energy, Cairn plc"
21,2017-03-09,The Economic Times,PTI,"I-T Lifts Freeze on Cairn Energy Dividend Payout, Stake Bar Stays","retrospective tax, arbitration, Cairn Energy"
22,2017-03-09,Millennium Post,Bureau,I-T Dept lifts freeze on British Cairn Energys dividend payout,"retrospective tax, arbitration, Cairn Energy"
23,2017-03-09,The Statesman,Bureau,I-T dept lifts freeze on Cairn dividend payout,"retrospective tax, arbitration, Cairn Energy"
24,2017-03-09,The Political & Business Daily,Bureau,Income Tax dept lifts freeze on Cairn Energy dividend payout,"retrospective tax, arbitration, Cairn Energy"
25,2017-03-09,The Times Of India,PTI,Cairn Energy gets I-T nod on dividend payout,"retrospective tax, arbitration, Cairn Energy"
26,2017-03-09,The Economic Times,PTI,I-T lifts freeze on Cairn Energy dividend payout,"retrospective tax, arbitration, Cairn Energy"
27,2017-03-11,The Hindu Business Line,Bureau,"Tribunal confirms Rs 10,247-cr tax demand on Cairn UK","arbitration, Cairn plc, Cairn Energy"
